ATP	EPE nº	EPE nome	ONS nº	ONS nome	Comentário
					EPE
TERRA	0		0		
IVP76	3654	IVAIPO-PR765			
BAT50	3696	BATEIA-PR500			
TIJ13	6091	TIJUCA-SC138			
GAR13	6108	GARUVA-SC138			
GUA13	6110	GUARAM-SC138			
GUR13	6111	GUARA2-SC138			
JAR13	6121	JARRLU-SC138			
JPA13	6132	JPARAN-SC138			
JOI69	6142	JOINVU-SC069			
JOQ13	6160	JOINV4-SC138			
JOP13	6162	JOINPE-SC138			
PIR13	6171	PIRABE-SC138			
SBE13	6180	SAOBEN-SC138			
SBR13	6181	SBENBR-SC138			
SFR13	6185	SFRAN2-SC138			
BGA69	6200	BGARCI-SC069			
BLU69	6211	BLUME2-SC069			
BVE13	6217	BVELHA-SC138			
BRU13	6223	BRUSQU-SC138			
BRQ13	6224	BRUSQR-SC138			
GAS13	6244	GASPAR-SC138			
ALT13	6253	ALTOBE-SC138			
ITJ13	6268	ITAJIT-SC138			
POM13	6274	POMERO-SC138			
PIC13	6276	PICARR-SC138			
RSU13	6281	RIOSU2-SC138			
TBO69	6293	TIMBO--SC069			
TBO13	6295	TIMBO--SC138			
LAG13	6306	LAGES--SC138			
CCO23	6615	C.COMP-PR230			
UBE23	6616	UBERAB-PR230			
CIC23	6617	CIC----PR230			
CVO52	6626	CASCVO-PR525			
BAT23	6627	BATEIA-PR230			
GLH23	6664	GRALHA-PR230			
PFI23	6731	P.FISC-PR230			
SGD52	6757	SEGRED-PR525			
SJP23	6761	DI.SJP-PR230			
CAS23	6762	CASSOB-PR230			
SMA23	6763	SMATEU-PR230			
SMO23	6764	SMONIC-PR230			
ARA69	6824	ARAUCA-PR069			
ARE13	6826	AREIA--PR138			
UMB69	6870	UMBARA-PR069			
PGR52	7015	P.GROS-PR525			
MCH52	7719	MACHAD-SC525			
CNO23	7723	CNOVOS-SC230			
BIG13	7742	BIGUAC-SC138			
ABD23	7747	ABDONB-SC230			
CAX52	7751	CAXIAS-RS525			
NSR52	7752	N.S.RI-RS525			
LON52	7762	LONDRI-PR525			
SSA52	7766	SSANTI-PR525			
JLB23	7802	JLACEB-SC230			
PAL13	7809	PALHRB-SC138			
SOS23	7820	SOSORI-PR230			
SID23	7823	SIDER2-SC230			
ITA13	7833	ILHOTA-SC138			
CNT01	7917	CONT---SC230			
CNT02	7926	CONT---SC230			
CNT03	7928	CONT---SC230			
SPI13	8800	SPILAO-SC138			
HYO13	43351	HYOSUN-SC138			
CBS23	44657	CBASUL-PR230			
SQU23	44841	SQUITE-PR230			
GUA52	50213	GUAIB3-RS525			
GRO23	83001	GUAROS-SC230			
UVI23	84000	UVIT-N-PR230			
TBO02	99137	TIMBO-SC23B			
